model_key,provider,model_name,item_id,expected,raw_output,parsed,status,correct,latency_ms,input_tokens,output_tokens,run_date
local,ollama,qwen3:4b-instruct-2507-q4_K_M,1,Python,Python,Python,ok,True,9251.24,118,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,2,Java,Java,Java,ok,True,2793.93,130,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,3,JavaScript,JavaScript,JavaScript,ok,True,2164.33,120,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,4,TypeScript,TypeScript,TypeScript,ok,True,2361.95,121,3,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,5,C,C,C,ok,True,2511.68,128,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,6,C++,C++,C++,ok,True,3229.36,144,3,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,7,C#,C#,C#,ok,True,3347.54,132,3,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,8,Go,Go,Go,ok,True,2760.4,128,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,9,Rust,Rust,Rust,ok,True,2166.17,121,3,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,10,PHP,PHP,PHP,ok,True,1761.34,115,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,11,Python,Python,Python,ok,True,2790.7,129,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,12,Java,Java,Java,ok,True,4457.3,142,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,13,JavaScript,JavaScript,JavaScript,ok,True,2946.19,123,2,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,14,TypeScript,TypeScript,TypeScript,ok,True,3342.65,121,3,2026-09-09
local,ollama,qwen3:4b-instruct-2507-q4_K_M,15,C,C++,C++,ok,False,3084.32,120,3,2026-09-09
